,Shutter B,Gain B,Mean Illumination B,Contrast B,Shutter I,Gain I,Mean Illumination I,Contrast I,numFeatures I,numMatches B-I,name I,FileLocation
9,520.0,16.0,100.29656250000001,243.0,98.0,16.0,25.72986328125,247.0,380,37,csail03-08-15_1_0009.png,csail03-08-15_0/
10,520.0,16.0,100.29656250000001,243.0,109.0,16.0,27.726025390625,247.0,417,46,csail03-08-15_1_0010.png,csail03-08-15_0/
11,520.0,16.0,100.29656250000001,243.0,120.0,16.0,29.638538411458335,246.0,462,56,csail03-08-15_1_0011.png,csail03-08-15_0/
12,520.0,16.0,100.29656250000001,243.0,131.0,16.0,31.33091471354167,246.0,499,55,csail03-08-15_1_0012.png,csail03-08-15_0/
13,520.0,16.0,100.29656250000001,243.0,142.0,16.0,32.936064453125,246.0,521,61,csail03-08-15_1_0013.png,csail03-08-15_0/
14,520.0,16.0,100.29656250000001,243.0,152.0,16.0,34.60870442708334,246.0,555,87,csail03-08-15_1_0014.png,csail03-08-15_0/
15,520.0,16.0,100.29656250000001,243.0,163.0,16.0,36.50404622395833,246.0,579,72,csail03-08-15_1_0015.png,csail03-08-15_0/
16,520.0,16.0,100.29656250000001,243.0,174.0,16.0,38.271253255208336,246.0,638,103,csail03-08-15_1_0016.png,csail03-08-15_0/
17,520.0,16.0,100.29656250000001,243.0,185.0,16.0,39.84719075520834,246.0,643,87,csail03-08-15_1_0017.png,csail03-08-15_0/
18,520.0,16.0,100.29656250000001,243.0,196.0,16.0,41.36637044270834,246.0,671,101,csail03-08-15_1_0018.png,csail03-08-15_0/
19,520.0,16.0,100.29656250000001,243.0,207.0,16.0,43.08224609375,245.0,695,101,csail03-08-15_1_0019.png,csail03-08-15_0/
20,520.0,16.0,100.29656250000001,243.0,217.0,16.0,44.720745442708335,245.0,732,129,csail03-08-15_1_0020.png,csail03-08-15_0/
21,520.0,16.0,100.29656250000001,243.0,228.0,16.0,46.39923177083334,246.0,770,116,csail03-08-15_1_0021.png,csail03-08-15_0/
22,520.0,16.0,100.29656250000001,243.0,239.0,16.0,47.866064453125006,246.0,790,110,csail03-08-15_1_0022.png,csail03-08-15_0/
23,520.0,16.0,100.29656250000001,243.0,250.0,16.0,49.27986002604167,245.0,821,139,csail03-08-15_1_0023.png,csail03-08-15_0/
24,520.0,16.0,100.29656250000001,243.0,261.0,16.0,50.92716145833334,245.0,840,166,csail03-08-15_1_0024.png,csail03-08-15_0/
25,520.0,16.0,100.29656250000001,243.0,271.0,16.0,52.453056640625,245.0,863,172,csail03-08-15_1_0025.png,csail03-08-15_0/
26,520.0,16.0,100.29656250000001,243.0,282.0,16.0,54.00830729166667,245.0,896,142,csail03-08-15_1_0026.png,csail03-08-15_0/
27,520.0,16.0,100.29656250000001,243.0,293.0,16.0,55.39964192708334,245.0,902,160,csail03-08-15_1_0027.png,csail03-08-15_0/
28,520.0,16.0,100.29656250000001,243.0,304.0,16.0,56.80545572916667,245.0,935,160,csail03-08-15_1_0028.png,csail03-08-15_0/
29,520.0,16.0,100.29656250000001,243.0,315.0,16.0,58.45137044270834,245.0,955,162,csail03-08-15_1_0029.png,csail03-08-15_0/
30,520.0,16.0,100.29656250000001,243.0,325.0,16.0,60.00404296875001,245.0,979,170,csail03-08-15_1_0030.png,csail03-08-15_0/
31,520.0,16.0,100.29656250000001,243.0,336.0,16.0,61.56736653645834,245.0,982,183,csail03-08-15_1_0031.png,csail03-08-15_0/
32,520.0,16.0,100.29656250000001,243.0,347.0,16.0,62.93122070312501,244.0,1017,189,csail03-08-15_1_0032.png,csail03-08-15_0/
33,520.0,16.0,100.29656250000001,243.0,358.0,16.0,64.29280924479167,244.0,1027,189,csail03-08-15_1_0033.png,csail03-08-15_0/
34,520.0,16.0,100.29656250000001,243.0,369.0,16.0,65.848583984375,244.0,1060,186,csail03-08-15_1_0034.png,csail03-08-15_0/
35,520.0,16.0,100.29656250000001,243.0,380.0,16.0,67.46950846354167,245.0,1063,219,csail03-08-15_1_0035.png,csail03-08-15_0/
36,520.0,16.0,100.29656250000001,243.0,390.0,16.0,68.57830078125001,244.0,1081,219,csail03-08-15_1_0036.png,csail03-08-15_0/
37,520.0,16.0,100.29656250000001,243.0,401.0,16.0,69.90505859375,244.0,1110,248,csail03-08-15_1_0037.png,csail03-08-15_0/
38,520.0,16.0,100.29656250000001,243.0,412.0,16.0,71.26504231770834,244.0,1110,230,csail03-08-15_1_0038.png,csail03-08-15_0/
39,520.0,16.0,100.29656250000001,243.0,423.0,16.0,72.83568359375,244.0,1140,219,csail03-08-15_1_0039.png,csail03-08-15_0/
40,520.0,16.0,100.29656250000001,243.0,434.0,16.0,74.3995703125,244.0,1144,245,csail03-08-15_1_0040.png,csail03-08-15_0/
41,520.0,16.0,100.29656250000001,243.0,444.0,16.0,75.67479166666668,244.0,1154,235,csail03-08-15_1_0041.png,csail03-08-15_0/
42,520.0,16.0,100.29656250000001,243.0,455.0,16.0,76.91283854166667,244.0,1181,222,csail03-08-15_1_0042.png,csail03-08-15_0/
43,520.0,16.0,100.29656250000001,243.0,466.0,16.0,78.160390625,243.0,1198,257,csail03-08-15_1_0043.png,csail03-08-15_0/
44,520.0,16.0,100.29656250000001,243.0,477.0,16.0,79.59039062500001,244.0,1196,237,csail03-08-15_1_0044.png,csail03-08-15_0/
45,520.0,16.0,100.29656250000001,243.0,488.0,16.0,81.038671875,243.0,1225,269,csail03-08-15_1_0045.png,csail03-08-15_0/
46,520.0,16.0,100.29656250000001,243.0,499.0,16.0,82.33617838541667,243.0,1230,269,csail03-08-15_1_0046.png,csail03-08-15_0/
47,520.0,16.0,100.29656250000001,243.0,509.0,16.0,83.33604817708334,243.0,1228,258,csail03-08-15_1_0047.png,csail03-08-15_0/
48,520.0,16.0,100.29656250000001,243.0,520.0,16.0,84.58195312500001,243.0,1261,227,csail03-08-15_1_0048.png,csail03-08-15_0/
0,509.0,16.0,136.83641927083335,241.0,1.0,16.0,0,0,0,0,csail03-08-15_1_0000.png,csail03-08-15_0/
1,509.0,16.0,136.83641927083335,241.0,12.0,16.0,12.293567708333335,37.0,9,0,csail03-08-15_1_0001.png,csail03-08-15_0/
2,509.0,16.0,136.83641927083335,241.0,23.0,16.0,15.701546223958335,67.0,75,38,csail03-08-15_1_0002.png,csail03-08-15_0/
3,509.0,16.0,136.83641927083335,241.0,33.0,16.0,18.744778645833335,93.0,124,26,csail03-08-15_1_0003.png,csail03-08-15_0/
4,509.0,16.0,136.83641927083335,241.0,44.0,16.0,22.099218750000002,123.0,157,9,csail03-08-15_1_0004.png,csail03-08-15_0/
5,509.0,16.0,136.83641927083335,241.0,55.0,16.0,25.424560546875,153.0,199,23,csail03-08-15_1_0005.png,csail03-08-15_0/
6,509.0,16.0,136.83641927083335,241.0,66.0,16.0,28.840498046875002,182.0,240,86,csail03-08-15_1_0006.png,csail03-08-15_0/
7,509.0,16.0,136.83641927083335,241.0,77.0,16.0,32.22861002604167,211.0,284,96,csail03-08-15_1_0007.png,csail03-08-15_0/
8,509.0,16.0,136.83641927083335,241.0,88.0,16.0,35.60274088541667,233.0,342,42,csail03-08-15_1_0008.png,csail03-08-15_0/
9,509.0,16.0,136.83641927083335,241.0,98.0,16.0,38.61943033854167,235.0,356,22,csail03-08-15_1_0009.png,csail03-08-15_0/
10,509.0,16.0,136.83641927083335,241.0,109.0,16.0,41.91347005208333,237.0,391,24,csail03-08-15_1_0010.png,csail03-08-15_0/
