Frame,Timestamp,Run Number,Baseline,Experimental Mean Luminance,Shutter 0,Gain 0,Shutter 1,Gain 1,Image File 0,Image File 1,Experimental Method,Succesfully Tracked Features 1,Succesfully Tracked Features 0,STF Baseline,STF Experiment,Exposure Baseline,Exposure Experiment,Contrast,Mean Lum,FG Illum,BG Illum,Blur Lum,Exposure Sigma,Exposure Pred
53,2015-04-18 20:47:43.405051904,1.0,1.0,119.7041796875,408.0,16.0,346.0,16.0,bldg33_2015-04-18_0_0053.png,bldg33_2015-04-18_1_0053.png,GP,195.0,273.0,195.0,273.0,346.0,408.0,242.0,119.7041796875,72.4717044284243,135.68979609620075,127.09404388714734,29.493095922356716,405.140495214314
54,2015-04-18 20:47:43.893467904,1.0,1.0,114.42919596354167,404.0,16.0,377.0,16.0,bldg33_2015-04-18_0_0054.png,bldg33_2015-04-18_1_0054.png,GP,201.0,187.0,201.0,187.0,377.0,404.0,242.0,114.42919596354167,70.46649073120494,129.30817357964446,121.94569288389513,31.081545280469182,392.8352047771813
55,2015-04-18 20:47:44.417594880,1.0,1.0,106.25818359375,392.0,16.0,296.0,16.0,bldg33_2015-04-18_0_0055.png,bldg33_2015-04-18_1_0055.png,GP,170.0,190.0,170.0,190.0,296.0,392.0,243.0,106.25818359375,67.7342044284243,119.29644911118856,111.16818181818182,30.50756283327821,388.93803924150745
56,2015-04-18 20:47:44.973701120,1.0,1.0,101.9755078125,389.0,16.0,237.0,16.0,bldg33_2015-04-18_0_0056.png,bldg33_2015-04-18_1_0056.png,GP,185.0,206.0,185.0,206.0,237.0,389.0,243.0,101.97550781250001,87.9496395468589,106.72249912861623,112.5857740585774,29.53266813286715,397.36189742163333
57,2015-04-18 20:47:45.593206784,1.0,1.0,98.01164713541668,398.0,16.0,202.0,16.0,bldg33_2015-04-18_0_0057.png,bldg33_2015-04-18_1_0057.png,GP,91.0,378.0,91.0,378.0,202.0,398.0,243.0,98.01164713541667,119.90899845520083,90.60058818403624,110.29354445797807,27.03652178202044,409.80777688231564
58,2015-04-18 20:47:46.296747008,1.0,1.0,98.55649739583332,410.0,16.0,181.0,16.0,bldg33_2015-04-18_0_0058.png,bldg33_2015-04-18_1_0058.png,GP,291.0,378.0,291.0,378.0,181.0,410.0,243.0,98.55649739583333,125.55078527291452,89.42040345067967,110.09055876685935,26.277035641544096,413.55340037887197
59,2015-04-18 20:47:47.016412928,1.0,1.0,101.17053059895834,413.0,16.0,174.0,16.0,bldg33_2015-04-18_0_0059.png,bldg33_2015-04-18_1_0059.png,GP,275.0,519.0,275.0,519.0,174.0,413.0,244.0,101.17053059895834,131.66767507723995,90.84891077030323,112.10871694417239,26.59804852708457,415.9694968284212
60,2015-04-18 20:47:47.728419072,1.0,1.0,102.71720703125,416.0,16.0,168.0,16.0,bldg33_2015-04-18_0_0060.png,bldg33_2015-04-18_1_0060.png,GP,265.0,449.0,265.0,449.0,168.0,416.0,244.0,102.71720703125001,136.53236354273943,91.27262112234227,107.04955401387512,27.74241313334065,409.98104333614805
61,2015-04-18 20:47:48.478236928,1.0,1.0,107.0696484375,410.0,16.0,166.0,16.0,bldg33_2015-04-18_0_0061.png,bldg33_2015-04-18_1_0061.png,GP,215.0,325.0,215.0,325.0,166.0,410.0,244.0,107.0696484375,138.5385813594233,96.41913123039386,107.69842738205365,28.459137270929812,409.8142742100016
62,2015-04-18 20:47:49.126149888,1.0,1.0,101.5544921875,409.0,16.0,170.0,16.0,bldg33_2015-04-18_0_0062.png,bldg33_2015-04-18_1_0062.png,GP,69.0,105.0,69.0,105.0,170.0,409.0,244.0,101.5544921875,93.07062306900103,104.42581910073196,108.74827109266943,27.35422744298808,402.0031997572982
63,2015-04-18 20:47:49.683788032,1.0,1.0,104.24362955729168,402.0,16.0,530.0,16.0,bldg33_2015-04-18_0_0063.png,bldg33_2015-04-18_1_0063.png,GP,132.0,128.0,132.0,128.0,530.0,402.0,244.0,104.24362955729167,82.92395726055612,111.4591756709655,111.9168,25.752089597737534,409.7952220319097
64,2015-04-18 20:47:50.216690944,1.0,1.0,81.369482421875,410.0,16.0,530.0,41.0,bldg33_2015-04-18_0_0064.png,bldg33_2015-04-18_1_0064.png,GP,16.0,54.0,16.0,54.0,1358.125,410.0,245.0,81.369482421875,59.140010298661174,88.89294614848379,94.69642857142857,27.715954917457427,377.01571577371914
65,2015-04-18 20:47:50.782178048,1.0,1.0,64.94803385416667,380.0,16.0,530.0,44.0,bldg33_2015-04-18_0_0065.png,bldg33_2015-04-18_1_0065.png,GP,8.0,24.0,8.0,24.0,1457.5,380.0,245.0,64.94803385416667,58.46719876416066,67.14144301150226,89.8551461245235,29.349755602867766,365.4939107629646
66,2015-04-18 20:47:51.374883840,1.0,1.0,57.43349283854167,373.0,16.0,530.0,36.0,bldg33_2015-04-18_0_0066.png,bldg33_2015-04-18_1_0066.png,GP,217.0,243.0,217.0,243.0,1192.5,373.0,245.0,57.43349283854167,56.00332131822863,57.91752788428023,84.80870712401055,30.84158811904882,355.6839554966357
